sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.0738;4.0164;8.2209;-0.5939;4.1452;8.8677;-0.0738;0.3386;-0.1059;-0.3797;0.1567;0.0216;14.94;-28.41;-29.7;226.5;-25.0;3.83;1003.17;53.867;51.891907;0.257267;145.0;NaN;83.25804;1.25;11.0;22.0;0 / 19;5;2015-03-03 13:57:05:560
0.0735;4.1973;8.9397;-0.1699;4.3786;8.7732;-0.1399;0.2969;0.0341;-0.0015;0.1044;0.1487;14.06;-27.53;-29.87;229.0;-26.48;1.37;1003.17;63.531;51.891907;0.257267;145.0;NaN;83.25804;1.25;11.0;22.0;0 / 19;505;2015-03-03 13:57:06:060
0.9328;4.7567;8.4351;0.5654;4.7319;8.5709;0.3818;-0.0371;-0.0278;0.0017;0.1183;-0.003;10.9;-30.69;-28.16;220.01;-28.63;-1.42;1003.15;65.801;51.891907;0.257267;145.0;NaN;83.427345;1.25;11.0;22.0;0 / 19;1005;2015-03-03 13:57:06:560
0.302;4.9138;8.7017;0.4349;4.6638;8.6157;0.1051;0.0193;-0.1132;-0.0849;0.1204;0.0269;11.42;-31.91;-29.36;221.12;-28.59;-3.42;1003.15;68.076;51.891907;0.257267;145.0;NaN;83.427345;1.25;11.0;22.0;0 / 19;1505;2015-03-03 13:57:07:060
0.3163;4.4948;8.4208;0.3027;4.5847;8.6637;0.0735;0.2268;0.1238;-0.0069;0.177;-0.0168;11.6;-28.23;-28.85;228.77;-27.87;-2.0;1003.15;67.871;51.891907;0.257267;145.0;NaN;83.427345;1.25;11.0;22.0;0 / 19;2005;2015-03-03 13:57:07:560
0.1878;4.5424;8.6874;0.2189;4.5526;8.6831;0.008;0.0539;-0.0374;-0.0037;0.0168;0.0056;11.25;-27.18;-28.5;227.93;-27.66;-1.44;1003.15;57.035;51.891907;0.257267;145.0;NaN;83.427345;1.25;11.0;22.0;0 / 19;2505;2015-03-03 13:57:08:060
0.2544;4.5186;8.5946;0.2;4.5186;8.7013;0.0583;0.1291;-0.0898;0.007;-0.0462;0.0163;13.53;-28.76;-30.38;229.89;-27.17;-0.93;1003.16;58.161;51.891907;0.257267;145.0;NaN;83.3427;1.25;11.0;22.0;0 / 19;3005;2015-03-03 13:57:08:560
0.2568;4.5805;8.835;0.1114;4.5331;8.6953;-0.066;0.1297;0.0414;-0.025;-0.0345;-0.0051;13.71;-27.53;-27.82;230.32;-27.52;-0.97;1003.16;65.467;51.891907;0.257267;145.0;NaN;83.3427;1.25;11.0;22.0;0 / 19;3505;2015-03-03 13:57:09:060
0.3139;3.914;8.5422;0.4522;4.1383;8.8792;-0.2805;0.0453;-0.067;-0.4309;0.2913;0.1508;10.9;-28.23;-31.23;225.01;-24.96;-2.92;1003.17;64.711;51.891907;0.257267;145.0;NaN;83.25804;1.25;11.0;22.0;0 / 19;4005;2015-03-03 13:57:09:560
-0.4668;2.8286;9.611;0.4088;3.8565;9.0073;0.1419;-0.2824;-0.1252;-0.0998;0.3244;0.1882;9.84;-27.18;-32.26;222.62;-23.16;-2.6;1003.17;59.412;51.891907;0.257267;145.0;NaN;83.25804;1.25;11.0;22.0;0 / 19;4505;2015-03-03 13:57:10:060
-0.2836;2.5001;9.5253;-0.1524;2.4882;9.4845;-0.819;-0.4802;0.1109;0.3947;-0.1423;-0.192;13.71;-19.83;-34.98;232.23;-14.7;0.92;1003.18;61.054;51.891907;0.257267;145.0;NaN;83.17237;1.25;11.0;22.0;0 / 19;5005;2015-03-03 13:57:10:560
1.0399;3.2594;9.68;0.9126;2.9768;9.2993;0.0022;-0.7201;-0.0079;0.2206;-0.6572;-0.3704;8.79;-22.98;-35.32;220.34;-16.4;-2.38;1003.17;56.988;51.891907;0.257267;145.0;NaN;83.25804;1.25;11.0;22.0;0 / 19;5504;2015-03-03 13:57:11:059
2.6276;1.755;9.7229;2.7697;1.8042;9.2328;0.2545;1.371;-0.2461;-0.4245;-2.8254;-1.2484;3.87;-15.62;-40.44;239.88;-10.6;-16.7;1003.17;56.287;51.891907;0.257267;145.0;NaN;83.25804;1.25;11.0;22.0;0 / 19;6004;2015-03-03 13:57:11:559
7.4907;-2.2226;3.0435;8.0357;-1.327;5.4623;2.8376;0.2423;-0.7577;-1.8494;1.4524;-1.571;-30.94;-0.55;-32.94;234.75;7.78;-55.79;1003.17;57.053;51.891907;0.257267;145.0;NaN;83.25804;1.25;11.0;22.0;0 / 19;6505;2015-03-03 13:57:12:060
7.148;-0.7277;5.293;7.3895;-0.5182;6.4263;-0.2764;0.6815;0.1965;0.6671;-0.372;0.2876;-22.68;-1.78;-37.2;251.88;3.03;-48.99;1003.16;54.936;51.891907;0.257267;145.0;NaN;83.3427;1.25;11.0;22.0;0 / 19;7005;2015-03-03 13:57:12:560
7.9668;-0.6896;7.4496;7.3918;-1.1218;6.3461;0.5096;0.2415;0.491;-0.2098;0.1439;-0.0564;-24.26;0.85;-36.69;252.82;6.57;-49.35;1003.17;61.136;51.891907;0.257267;145.0;NaN;83.25804;1.25;11.0;22.0;0 / 19;7505;2015-03-03 13:57:13:060
7.6574;-1.299;6.0476;7.2827;-1.2761;6.4424;0.1473;-0.3104;-0.3089;-0.0282;0.0136;-0.114;-24.26;2.25;-39.07;255.8;7.16;-48.99;1003.18;63.521;51.891907;0.257267;145.0;NaN;83.17237;1.25;11.0;22.0;0 / 19;8005;2015-03-03 13:57:13:560
7.7359;-1.3323;6.1357;7.3253;-1.4302;6.3612;0.1298;-0.1179;-0.4131;-0.1596;0.0884;-0.0211;-23.73;2.42;-38.22;252.83;7.89;-48.73;1003.17;59.617;51.891907;0.257267;145.0;NaN;83.25804;1.25;11.0;22.0;0 / 19;8505;2015-03-03 13:57:14:060
6.0482;-2.0631;6.0071;7.2589;-1.7126;6.3676;-0.0064;0.05;0.2844;0.0892;0.0606;0.0836;-23.73;3.83;-38.91;255.75;9.76;-48.95;1003.17;57.292;51.891907;0.257267;145.0;NaN;83.25804;1.25;11.0;22.0;0 / 19;9006;2015-03-03 13:57:14:561
7.0599;-1.7465;6.576;7.4294;-1.8896;6.1159;-0.9836;0.2398;-1.3226;0.116;-0.6027;0.3442;-23.73;1.72;-37.88;241.93;11.05;-47.62;1003.18;70.119;51.891907;0.257267;145.0;NaN;83.17237;1.25;11.0;22.0;0 / 19;9508;2015-03-03 13:57:15:063
6.6386;-5.2147;8.0518;7.0872;-4.4383;5.1229;1.013;-0.0692;-2.007;-1.2438;-0.1819;0.5161;-27.07;12.76;-34.64;238.83;26.91;-54.14;1003.19;58.308;51.891907;0.257267;145.0;NaN;83.087715;1.25;11.0;22.0;0 / 19;10005;2015-03-03 13:57:15:560
6.4696;-6.1669;10.268;8.0332;-2.9071;4.8153;-0.2556;2.4063;-2.758;0.0369;-0.6849;-0.1461;-28.13;10.31;-34.3;246.19;21.9;-58.29;1003.22;53.587;51.891907;0.257267;145.0;NaN;82.83273;1.25;11.0;22.0;0 / 19;10504;2015-03-03 13:57:16:059
5.6293;-0.9277;-11.7981;7.1781;0.2237;-6.678;2.8476;-0.8932;2.0715;1.9766;-2.7464;0.0739;-39.03;-14.92;26.74;206.02;-1.31;-132.93;1003.23;55.4;51.891907;0.257267;145.0;NaN;82.74706;1.25;11.0;22.0;0 / 19;11006;2015-03-03 13:57:16:561
5.1556;-3.6318;-10.0247;2.9896;-4.6222;-8.1159;1.1713;0.2124;0.2352;1.073;-0.0056;0.1241;-22.15;13.11;39.7;225.89;25.15;-160.76;1003.23;58.847;51.891907;0.257267;145.0;NaN;82.74706;1.25;11.0;22.0;0 / 19;11505;2015-03-03 13:57:17:060
8.9523;-1.9012;2.9031;9.2601;-0.8792;3.106;-0.2945;-0.5349;-0.2594;0.2324;1.1725;-0.9493;-36.21;1.55;-20.32;256.52;10.41;-88.79;1003.24;60.264;51.891907;0.257267;145.0;NaN;82.6624;1.25;11.0;22.0;0 / 19;12009;2015-03-03 13:57:17:564
7.386;-1.0681;7.4115;6.3213;1.0028;7.43;0.3219;-2.5419;-0.539;1.5611;1.0572;1.1837;-22.33;-3.88;-31.4;246.19;7.4;-64.76;1003.24;63.519;51.891907;0.257267;145.0;NaN;82.6624;1.25;11.0;22.0;0 / 19;12504;2015-03-03 13:57:18:059
5.4722;-2.7296;10.3965;3.7552;0.4942;9.0457;1.206;-1.671;0.7093;-0.1746;0.4718;-0.0243;-15.47;-6.86;-32.6;166.91;-2.89;-22.55;1003.24;66.173;51.891907;0.257267;145.0;NaN;82.6624;1.25;11.0;22.0;0 / 19;13005;2015-03-03 13:57:18:560
7.0956;-1.6894;10.4441;4.8905;-0.5878;8.4798;0.0045;-2.3026;-0.3454;-1.2139;0.8649;0.9007;-25.14;-5.28;-31.4;112.29;-3.98;-30.96;1003.25;63.399;51.891907;0.257267;145.0;NaN;82.577736;1.25;11.0;22.0;0 / 19;13506;2015-03-03 13:57:19:061
1.0423;-2.5582;11.0749;4.3696;-0.2442;8.7759;-1.9737;-2.3625;0.8957;-0.4459;-0.5845;-0.9963;-21.98;-4.93;-33.45;140.18;1.43;-26.47;1003.25;64.108;51.891907;0.257267;145.0;NaN;82.577736;1.25;11.0;22.0;0 / 19;14006;2015-03-03 13:57:19:561
2.6276;-0.4397;9.6634;5.1195;0.2472;8.3606;-0.746;-0.7;0.4663;0.0593;-0.2289;-0.0692;-21.8;-6.51;-32.26;171.77;-2.21;-33.33;1003.24;67.169;51.891907;0.257267;145.0;NaN;82.6624;1.25;11.0;22.0;0 / 19;14505;2015-03-03 13:57:20:060
2.9942;0.2863;12.4175;3.8689;-0.3969;9.0025;-1.3712;-0.8804;0.5522;1.0655;1.2825;-0.1237;-25.49;-3.88;-31.06;152.99;2.54;-34.66;1003.25;64.789;51.891907;0.257267;145.0;NaN;82.577736;1.25;11.0;22.0;0 / 19;15004;2015-03-03 13:57:20:559
1.0733;1.0076;10.5155;2.578;-0.4879;9.4491;-0.4259;3.5054;1.551;-0.197;0.2753;1.2788;-22.85;-3.01;-34.64;110.99;2.85;-15.26;1003.23;66.812;51.891907;0.257267;145.0;NaN;82.74706;1.25;11.0;22.0;0 / 19;15505;2015-03-03 13:57:21:060
